Date,market-price,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,trade-volume,blocks-size,avg-block-size,transaction-fees,transaction-fees-usd,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,output-volume,estimated-transaction-volume,estimated-transaction-volume-usd,total-bitcoins,market-cap
2011-09-13,6.88,45.9084507042254,0.0,12.0188162423716,1777774.48200146,52318.011503248,0.0,592.190091,0.0190087746478873,4.15771892,30.011503248,12.9732644152536,7.66676604678312,12622.0,6519.0,1497195.0,6519.0,358543.612113801,58615.64131969,403275.612279467,7257416.304347826,50220137.51932368
2011-09-14,6.19,42.4657534246575,0.0,13.2639252302093,1755425.3203287,48306.4689107313,0.0,594.907367,0.0180070342465753,3.78071682,24.4689107313,10.4720846793638,7.36940791925726,12408.0,6200.0,1503780.0,6200.0,302619.02454442,74521.4846252,461287.989829988,7264662.3239436615,45409301.99471831
2011-09-15,5.92,41.5,0.0,12.9148745662564,1755425.3203287,60431.4449522368,0.0,597.554226,0.0182395064102564,7.32051008,47.4449522368,12.852814789234,7.33391322235884,12988.0,6474.0,1509972.0,6474.0,299226.130645501,79422.40293224,470180.625358861,7272284.389467593,43222279.44502315
2011-09-16,5.58,52.1764705882353,0.0,10.9950959145156,1755425.3203287,34345.021912677,0.0,600.362512,0.0221358823529412,4.96831626,28.021912677,7.44287310397839,5.46634122436368,12059.0,6209.0,1516381.0,6209.0,674606.861338231,82696.8532469,461448.441117702,7279040.331196581,40881355.690170944
2011-09-17,5.18,40.7014925373134,0.0,10.7333079165509,1755425.3203287,36805.913687445,0.0,602.99551,0.0171160298507463,5.15724892,27.913687445,10.412631383616,6.48905389411936,10988.0,5454.0,1522600.0,5454.0,354198.94577762,68238.16652081,353473.702577796,7285375.032051282,38018328.6275641
2011-09-18,5.02,37.8860759493671,0.0,14.5728652200325,1755425.3203287,43199.4014815994,0.0,605.301598,0.0157291139240506,5.37796247,27.4014815994,14.7282928925969,7.02086811012504,12230.0,5986.0,1528085.0,5986.0,298884.684052469,58428.07802115,293308.951666173,7292762.662337663,36704330.46969697
2011-09-19,5.14,52.3858267716535,0.0,10.6460452505627,1755425.3203287,33183.5967360846,0.0,607.791988,0.0242782283464567,5.92737413,30.5967360846,9.01870402859721,4.96388881616823,13227.0,6653.0,1534053.0,6653.0,334755.334583489,71584.03970148,367941.964065607,7299843.055555556,37434325.8452381
2011-09-20,5.89,58.1785714285714,0.0,12.1295105723624,1755425.3203287,41857.6974328784,0.0,610.890125,0.0281208571428571,6.56952256,38.6974328784,8.21496079587497,5.13339433810135,18674.0,8145.0,1540814.0,8145.0,353525.55996724,86507.65596019,509530.093605519,7306475.674460432,42542568.65602518
2011-09-21,6.67,52.6301369863014,0.0,12.9148745662564,1755425.3203287,49392.8645112105,0.0,614.83469,0.0256391301369863,5.17605015,34.8645112105,6.44404537627576,6.38976254996255,13718.0,7684.0,1548895.0,7684.0,395955.030994801,114915.81189687,766488.465352123,7313654.00862069,48290524.3625
2011-09-22,6.18,41.4797297297297,0.0,13.0893998982328,1755425.3203287,48227.9495763564,0.0,618.577671,0.0179980540540541,3.78408626,23.9495763564,10.4765207403128,7.74124391273778,15221.0,6139.0,1556614.0,6139.0,311078.82713509,74489.18901054,460343.188085137,7320956.221064815,45554757.9849537
2011-09-23,5.8,47.5789473684211,0.0,11.6931972424213,1755425.3203287,39175.1453954,0.0,621.240539,0.0201189473684211,4.229413,25.1453954,9.6447163727614,6.13069568003129,17920.0,6328.0,1562716.0,6328.0,345135.87947771,70031.4571414,406182.45142012,7328019.917929293,42766100.40088383
2011-09-24,5.7,44.4031007751938,0.0,10.8205705825391,1755425.3203287,40224.902737995,0.0,623.895361,0.0208347054263566,6.71538477,39.902737995,11.9050777692312,6.55983410600049,,5728.0,1569067.0,5728.0,232089.61923091,59277.23125496,337880.218153272,7334533.4,41880156.04666667
